"By variant","By gender","By age",2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067
"Medium","Total","60-64 Years old",3170368,3390828,3630046,3813197,4063740,4157520,4271912,4230601,4184216,4080093,4083576,4047484,4219164,4272454,4370020,4443356,4489335,4428658,4346077,4192890,4055373,3930001,3833081,3872312,3953553,4053132,4089260,4048346,3884000,3718111,3535487,3397577,3341003,3355409,3374316,3467444,3577882,3661155,3717762,3765269,3730002,3666625,3574417,3489657,3375047,3200482,3007087,2847597,2654303,2480625,2408921
"Medium","Total","65-69 years old",2286519,2358389,2450291,2659790,2898287,3074784,3293655,3530282,3713701,3962272,4057501,4172870,4135757,4094210,3996542,4003121,3971734,4143057,4198576,4297345,4371913,4419460,4362617,4283614,4135238,4002016,3880810,3787646,3828603,3910917,4011216,4048573,4009460,3848413,3685795,3506683,3371611,3316904,3332406,3352490,3446096,3556872,3640714,3698049,3746259,3712459,3650678,3560094,3476830,3363833,3190950
"Medium","Total","70-74 Years old",1756800,1796287,1888275,1990720,2092647,2169887,2242197,2333646,2538413,2769179,2942032,3155102,3385120,3566417,3809871,3904763,4019603,3986652,3950756,3861397,3871418,3846113,4015869,4073642,4173313,4248767,4297886,4246294,4172131,4030650,3903603,3788457,3700865,3744208,3827564,3928227,3966750,3929834,3773781,3616447,3443113,3312763,3261070,3278075,3299721,3393739,3504500,3588659,3646650,3695493,3663761
"Medium","Total","75-79 Years old",1494315,1580370,1587676,1600813,1558481,1591262,1633646,1720840,1817779,1910415,1986338,2057755,2146357,2342014,2558022,2722820,2924165,3140836,3316669,3549361,3640734,3752150,3723469,3695477,3619196,3633661,3617780,3783364,3843493,3943048,4017960,4067680,4023970,3957115,3827089,3710420,3605781,3527884,3574881,3659174,3759173,3798476,3764430,3617045,3469370,3307059,3185774,3139653,3159072,3183149,3277141
"Medium","Total","80 Years old & over",1528426,1637114,1758677,1874109,1987608,2138710,2277776,2359934,2441267,2472497,2603244,2731800,2850106,2976932,3056583,3210543,3358846,3513555,3771274,4003514,4254649,4531152,4824581,5170804,5540963,5795502,6087309,6263260,6485125,6681912,6854433,7032854,7271950,7457393,7658331,7816490,7960975,8080107,8133735,8149374,8144072,8144106,8152011,8221386,8295149,8368879,8395032,8363604,8287079,8218253,8139640
"Medium","Total","80-84 Years old",930279,988370,1053965,1102445,1147604,1230829,1304896,1312624,1325103,1289651,1325748,1369853,1447388,1533346,1609659,1681024,1748345,1829710,2006932,2195334,2343193,2521352,2711936,2874340,3084361,3166436,3268734,3245050,3228478,3172582,3191883,3189276,3343650,3404983,3501183,3572210,3620617,3589211,3533850,3423604,3324772,3238437,3177390,3229203,3312853,3409236,3448082,3418038,3286765,3157332,3016129
"Medium","Total","85-89 year old",425167,459474,495911,544471,596066,641239,682222,729835,766054,800114,863136,918100,923995,933593,907013,942894,984001,1043927,1109915,1161132,1220682,1276681,1342125,1484175,1625811,1741684,1878755,2024071,2157711,2324371,2386166,2467439,2448112,2444766,2415670,2437590,2449455,2578299,2634892,2718485,2777579,2819160,2803501,2763909,2683862,2612647,2554641,2518765,2573356,2649965,2733870
"Medium","Total","90-94 Years old",138080,148457,167695,184635,198751,217164,235752,256082,282824,310377,334729,356617,382976,403602,423178,460172,491251,493659,498676,482297,510118,539733,575209,613861,637729,677073,713514,754424,844297,925651,995643,1076562,1161501,1248256,1351510,1384721,1434098,1419533,1425582,1419897,1438399,1457012,1542631,1583411,1640460,1677873,1705572,1703389,1681168,1636895,1598188
"Medium","Total","95-99 Years old",31033,36841,36995,38105,40392,44000,48328,54922,60601,65182,71640,78219,85551,95162,104673,113090,120547,130045,137589,144770,159020,170285,170224,171701,164780,178904,192600,206123,220677,226783,244152,259563,276057,313848,343959,371331,402380,434863,472291,514356,524113,543483,535327,542047,545383,554991,567787,606142,624889,650273,665087
"Medium","Total","100 Years old & over",3867,3972,4111,4453,4795,5478,6578,6471,6685,7173,7991,9011,10196,11229,12060,13363,14702,16214,18162,19981,21636,23101,25087,26727,28282,31405,33706,33592,33962,32525,36589,40014,42630,45540,46009,50638,54425,58201,67120,73032,79209,86014,93162,102816,112591,114132,118950,117270,120901,123788,126366
"Medium","Male","Total",25736793,25863502,25913295,25945737,25961532,25967841,25971608,25973590,25974283,25973804,25971995,25968119,25959144,25943315,25920527,25890045,25851143,25802826,25744375,25675542,25596145,25505832,25404582,25293158,25172187,25041551,24901301,24751210,24591253,24421458,24241349,24050755,23850077,23639485,23419525,23190970,22954416,22711226,22463285,22211938,21957985,21702930,21448090,21194288,20941787,20690488,20440769,20192590,19945529,19699346,19453869
"Medium","Male","0-4 Years old",1102364,1041546,983559,913646,843025,793866,770347,763917,771935,793966,822689,850775,875313,893586,904815,908595,904841,895509,882816,867435,850177,831922,813549,795856,779481,764817,751942,740587,730197,720014,709223,697095,683124,667128,649296,630175,610601,591600,574238,559475,548025,540248,536108,535191,536778,539967,543799,547386,550001,551133,550507
"Medium","Male","5-9 Years old",1188607,1177422,1168596,1166742,1139761,1094257,1034139,976939,907764,837862,789250,765996,759592,767486,789269,817667,845425,869723,887809,898932,902679,898960,889719,877158,861936,844857,826790,808608,791098,774892,760379,747639,736405,726126,716050,705369,693367,679536,663702,646051,627120,607740,588930,571743,557130,545799,538100,534008,533105,534682,537844
"Medium","Male","10-14 Years old",1173575,1172820,1157292,1156254,1177163,1184896,1173176,1164315,1162421,1135423,1090022,1030140,973195,904270,834631,786236,763091,756712,764562,786255,814526,842149,866328,884326,895403,899140,895441,886247,873753,858613,841623,823649,805562,788144,772022,757586,744912,733738,723511,713488,702863,690923,677163,661410,643849,625015,605735,587018,569917,555377,544101
"Medium","Male","15-19 Years old",1554471,1469053,1391741,1295123,1208485,1173769,1172049,1155835,1154168,1174485,1181681,1169555,1160341,1158161,1131129,1085835,1026174,969508,900913,831611,783488,760513,754209,762058,783685,811850,839357,863433,881346,892368,896083,892396,883242,870804,855731,838818,820929,802926,785592,769548,755182,742570,731450,721272,711297,700720,688834,675133,659448,641963,623208
"Medium","Male","20-24 Years old",1882066,1856658,1803239,1752129,1688988,1599102,1499977,1415336,1312816,1221399,1182297,1176580,1157008,1152223,1170067,1175862,1163279,1153879,1151483,1124502,1079523,1020106,963554,895270,826579,779033,756453,750451,758521,780199,808257,835607,859522,877277,888147,891746,888005,878859,866469,851468,834646,816861,798974,781760,765835,751584,739077,728053,717959,708053,697540
"Medium","Male","25-29 Years old",1791765,1868308,1918741,1951603,1976260,1949093,1901127,1839752,1781587,1712141,1617063,1513799,1425487,1319520,1225096,1183677,1176304,1155863,1151153,1169169,1174980,1162304,1153078,1151077,1124308,1079528,1020523,964499,896536,827854,780196,757455,751215,759017,780501,808469,835778,859688,877495,888470,892198,888577,879530,867230,852314,835568,817850,800020,782846,766951,752718
"Medium","Male","30-34 Years old",1825165,1766587,1743509,1758425,1771640,1826921,1893074,1941008,1971612,1994244,1965281,1915648,1852714,1793221,1722693,1626616,1522541,1433800,1327677,1233095,1191601,1184302,1163901,1159166,1177281,1183212,1170584,1161321,1159320,1132558,1087657,1028443,972208,904062,835192,787386,764590,758370,766238,787821,815913,843353,867378,885272,896306,900066,896450,887385,875053,860091,843292
